Date,City,Province,RTLBCI
2020-11-23,Saskatoon, Saskatchewan ,141.05
2020-11-23,Regina, Saskatchewan ,224.73
2020-11-23,Calgary, Alberta ,142.9
2020-11-23,Edmonton, Alberta ,154.85
2020-11-23,Abbotsford, British Columbia ,199.45
2020-11-23,Kelowna, British Columbia ,174.91
2020-11-23,White Rock, British Columbia ,198.95
2020-11-23,Vancouver, British Columbia ,136.69
2020-11-23,Victoria, British Columbia ,187.91
2020-11-30,St. John's, Newfoundland ,368.32
2020-11-30,Halifax, Nova Scotia ,153.94
2020-11-30,Moncton, New Brunswick ,234.03
2020-11-30,Quebec, Quebec ,153.57
2020-11-30,Trois-Rivieres, Quebec ,206.69
2020-11-30,Sherbrooke, Quebec ,205.63
2020-11-30,Montreal, Quebec ,164.05
2020-11-30,Ottawa, Ontario ,135.67
2020-11-30,Hamilton, Ontario ,157.24
2020-11-30,Kitchener, Ontario ,160.63
2020-11-30,St. Catharines - Niagara Falls, Ontario ,202.44
2020-11-30,Barrie, Ontario ,157.41
2020-11-30,London, Ontario ,148.78
2020-11-30,Milton, Ontario ,187.04
2020-11-30,Toronto, Ontario ,129.29
2020-11-30,Kingston, Ontario ,195.96
2020-11-30,Kanata, Ontario ,188.32
2020-11-30,Guelph, Ontario ,180.93
2020-11-30,Oshawa, Ontario ,184.07
2020-11-30,Windsor, Ontario ,145.35
2020-11-30,Winnipeg, Manitoba ,148.37
2020-11-30,Saskatoon, Saskatchewan ,142.81
2020-11-30,Regina, Saskatchewan ,208.16
2020-11-30,Calgary, Alberta ,154.41
2020-11-30,Edmonton, Alberta ,159.44
2020-11-30,Abbotsford, British Columbia ,190.81
2020-11-30,Kelowna, British Columbia ,174.99
2020-11-30,White Rock, British Columbia ,206.49
2020-11-30,Vancouver, British Columbia ,142.56
2020-11-30,Victoria, British Columbia ,186.1
2020-12-07,St. John's, Newfoundland ,340.5
2020-12-07,Halifax, Nova Scotia ,158.35
2020-12-07,Moncton, New Brunswick ,220.12
2020-12-07,Quebec, Quebec ,143.31
2020-12-07,Trois-Rivieres, Quebec ,197.56
2020-12-07,Sherbrooke, Quebec ,195.18
2020-12-07,Montreal, Quebec ,142.32
2020-12-07,Ottawa, Ontario ,135.92
2020-12-07,Hamilton, Ontario ,145.92
2020-12-07,Kitchener, Ontario ,147.74
2020-12-07,St. Catharines - Niagara Falls, Ontario ,183.17
2020-12-07,Barrie, Ontario ,143.57
2020-12-07,London, Ontario ,137.82
2020-12-07,Milton, Ontario ,173.63
2020-12-07,Toronto, Ontario ,129.33
2020-12-07,Kingston, Ontario ,190.28
2020-12-07,Kanata, Ontario ,192.49
2020-12-07,Guelph, Ontario ,159.42
2020-12-07,Oshawa, Ontario ,174.63
2020-12-07,Windsor, Ontario ,147.66
2020-12-07,Winnipeg, Manitoba ,147
2020-12-07,Saskatoon, Saskatchewan ,150.35
2020-12-07,Regina, Saskatchewan ,204.95
2020-12-07,Calgary, Alberta ,143.02
2020-12-07,Edmonton, Alberta ,159.12
2020-12-07,Abbotsford, British Columbia ,203.75
2020-12-07,Kelowna, British Columbia ,175.12
2020-12-07,White Rock, British Columbia ,192.55
2020-12-07,Vancouver, British Columbia ,142.85
2020-12-07,Victoria, British Columbia ,177.02
2020-12-14,St. John's, Newfoundland ,337.98
2020-12-14,Halifax, Nova Scotia ,158.35
2020-12-14,Moncton, New Brunswick ,240.16
2020-12-14,Quebec, Quebec ,140.69
2020-12-14,Trois-Rivieres, Quebec ,196.71
2020-12-14,Sherbrooke, Quebec ,195.68
2020-12-14,Montreal, Quebec ,144.79
2020-12-14,Ottawa, Ontario ,139.43
2020-12-14,Hamilton, Ontario ,146.82
2020-12-14,Kitchener, Ontario ,157.46
2020-12-14,St. Catharines - Niagara Falls, Ontario ,193.24
2020-12-14,Barrie, Ontario ,146.58
2020-12-14,London, Ontario ,133.28
2020-12-14,Milton, Ontario ,173.84
2020-12-14,Toronto, Ontario ,123.92
2020-12-14,Kingston, Ontario ,182.81
