GEO_NAME,CHARACTERISTIC_ID,CHARACTERISTIC_NAME,Total Population,Total Population of Men,Total Population of Women
Gander,296,"  $90,000 to $99,999",335,,
Gander,297,"  $100,000 and over",1550,,
Gander,298,"    $100,000 to $124,999",650,,
Gander,299,"    $125,000 to $149,999",395,,
Gander,300,"    $150,000 and over",510,,
Gander,336,  0 to 17 years,2495,1320,1175
Gander,338,  18 to 64 years,8050,3925,4125
Gander,339,  65 years and over,2530,1175,1355
Gander,341,  0 to 17 years,335,175,155
Gander,343,  18 to 64 years,795,335,460
Gander,344,  65 years and over,450,175,270
Gander,351,  0 to 17 years,2495,1320,1175
Gander,353,  18 to 64 years,8050,3925,4130
Gander,354,  65 years and over,2535,1175,1355
Gander,356,  0 to 17 years,55,35,25
Gander,358,  18 to 64 years,305,155,155
Gander,359,  65 years and over,15,10,5
Gander,1457,  15 to 24 years,180,,
Gander,1458,  25 to 34 years,750,,
Gander,1459,  35 to 44 years,890,,
Gander,1460,  45 to 54 years,1200,,
Gander,1461,  55 to 64 years,1120,,
Gander,1462,  65 to 74 years,955,,
Gander,1463,  75 to 84 years,485,,
Gander,1464,  85 years and over,160,,
Gander,1540,  5 to 14 years,25,15,15
Gander,1541,  15 to 24 years,55,30,25
Gander,1542,  25 to 44 years,125,80,50
Corner Brook,9,  0 to 14 years,3755,1985,1775
Corner Brook,12,    10 to 14 years,1380,740,640
Corner Brook,13,  15 to 64 years,18520,8905,9610
Corner Brook,14,    15 to 19 years,1550,770,775
Corner Brook,15,    20 to 24 years,1610,785,830
Corner Brook,16,    25 to 29 years,1505,750,755
Corner Brook,17,    30 to 34 years,1585,755,830
Corner Brook,18,    35 to 39 years,1650,790,860
Corner Brook,19,    40 to 44 years,1790,865,925
Corner Brook,20,    45 to 49 years,1870,855,1015
Corner Brook,21,    50 to 54 years,2110,1030,1080
Corner Brook,22,    55 to 59 years,2410,1145,1270
Corner Brook,23,    60 to 64 years,2430,1170,1260
Corner Brook,24,  65 years and over,7485,3505,3980
Corner Brook,25,    65 to 69 years,2325,1145,1175
Corner Brook,26,    70 to 74 years,2140,1025,1115
Corner Brook,27,    75 to 79 years,1395,665,725
Corner Brook,28,    80 to 84 years,885,380,510
Corner Brook,29,    85 years and over,745,290,450
Corner Brook,30,      85 to 89 years,510,220,290
Corner Brook,31,      90 to 94 years,200,60,140
Corner Brook,32,      95 to 99 years,25,5,20
Corner Brook,35,  0 to 14 years,12.6,13.8,11.6
Corner Brook,36,  15 to 64 years,62.2,61.8,62.5
Corner Brook,37,  65 years and over,25.1,24.3,25.9
Corner Brook,38,    85 years and over,2.5,2,2.9
Corner Brook,159,"    $10,000 to $19,999",3260,1205,2060
Corner Brook,160,"    $20,000 to $29,999",4235,1825,2415
Corner Brook,161,"    $30,000 to $39,999",3655,1675,1980
Corner Brook,162,"    $40,000 to $49,999",3260,1615,1645
Corner Brook,163,"    $50,000 to $59,999",2420,1245,1170
Corner Brook,164,"    $60,000 to $69,999",1485,810,675
Corner Brook,165,"    $70,000 to $79,999",1065,640,430
Corner Brook,166,"    $80,000 to $89,999",900,510,390
Corner Brook,167,"    $90,000 to $99,999",725,365,365
Corner Brook,168,"    $100,000 and over",1630,1050,580
Corner Brook,169,"      $100,000 to $149,999",1185,730,455
Corner Brook,170,"      $150,000 and over",440,315,125
Corner Brook,175,"    $10,000 to $19,999",3425,1280,2145
Corner Brook,176,"    $20,000 to $29,999",5170,2265,2900
Corner Brook,177,"    $30,000 to $39,999",4320,2090,2225
Corner Brook,178,"    $40,000 to $49,999",3635,1815,1825
Corner Brook,179,"    $50,000 to $59,999",2085,1170,910
Corner Brook,180,"    $60,000 to $69,999",1395,810,580
Corner Brook,181,"    $70,000 to $79,999",1010,505,505
Corner Brook,182,"    $80,000 to $89,999",575,340,230
Corner Brook,183,"    $90,000 to $99,999",310,195,115
Corner Brook,184,"    $100,000 and over",635,440,190
Corner Brook,185,"      $100,000 to $124,999",345,245,105
Corner Brook,186,"      $125,000 and over",285,200,90
Corner Brook,191,"    $5,000 to $9,999",1375,620,755
Corner Brook,192,"    $10,000 to $19,999",2045,965,1085
Corner Brook,193,"    $20,000 to $29,999",1750,850,900
Corner Brook,194,"    $30,000 to $39,999",1575,760,820
Corner Brook,195,"    $40,000 to $49,999",1585,740,845
Corner Brook,196,"    $50,000 to $59,999",1230,600,630
Corner Brook,197,"    $60,000 to $69,999",860,490,365
Corner Brook,198,"    $70,000 to $79,999",765,440,325
Corner Brook,199,"    $80,000 to $89,999",660,365,295
Corner Brook,200,"    $90,000 to $99,999",595,280,315
Corner Brook,201,"    $100,000 and over",1275,850,425
Corner Brook,202,"      $100,000 to $124,999",705,415,290
Corner Brook,203,"      $125,000 and over",575,435,145
Corner Brook,262,"  $5,000 to $9,999",150,,
Corner Brook,263,"  $10,000 to $14,999",225,,
Corner Brook,264,"  $15,000 to $19,999",275,,
Corner Brook,265,"  $20,000 to $24,999",825,,
Corner Brook,266,"  $25,000 to $29,999",585,,
Corner Brook,267,"  $30,000 to $34,999",635,,
Corner Brook,268,"  $35,000 to $39,999",700,,
Corner Brook,269,"  $40,000 to $44,999",565,,
Corner Brook,270,"  $45,000 to $49,999",575,,
Corner Brook,271,"  $50,000 to $59,999",1080,,
Corner Brook,272,"  $60,000 to $69,999",910,,
Corner Brook,273,"  $70,000 to $79,999",885,,
Corner Brook,274,"  $80,000 to $89,999",885,,
Corner Brook,275,"  $90,000 to $99,999",725,,
Corner Brook,276,"  $100,000 and over",4130,,
Corner Brook,277,"    $100,000 to $124,999",1405,,
Corner Brook,278,"    $125,000 to $149,999",1015,,
Corner Brook,279,"    $150,000 to $199,999",1070,,
Corner Brook,280,"    $200,000 and over",645,,
Corner Brook,283,"  $5,000 to $9,999",150,,
Corner Brook,284,"  $10,000 to $14,999",235,,
Corner Brook,285,"  $15,000 to $19,999",290,,
Corner Brook,286,"  $20,000 to $24,999",900,,
Corner Brook,287,"  $25,000 to $29,999",700,,
Corner Brook,288,"  $30,000 to $34,999",695,,
Corner Brook,289,"  $35,000 to $39,999",800,,
Corner Brook,290,"  $40,000 to $44,999",715,,
Corner Brook,291,"  $45,000 to $49,999",640,,
Corner Brook,292,"  $50,000 to $59,999",1250,,
Corner Brook,293,"  $60,000 to $69,999",1125,,
Corner Brook,294,"  $70,000 to $79,999",1075,,
Corner Brook,295,"  $80,000 to $89,999",870,,
Corner Brook,296,"  $90,000 to $99,999",740,,
Corner Brook,297,"  $100,000 and over",2980,,
Corner Brook,298,"    $100,000 to $124,999",1345,,
Corner Brook,299,"    $125,000 to $149,999",825,,
Corner Brook,300,"    $150,000 and over",810,,
Corner Brook,336,  0 to 17 years,4635,2430,2205
Corner Brook,338,  18 to 64 years,17410,8335,9075
Corner Brook,339,  65 years and over,6935,3265,3665
Corner Brook,341,  0 to 17 years,750,400,350
Corner Brook,343,  18 to 64 years,2035,890,1145
Corner Brook,344,  65 years and over,1495,575,920
Corner Brook,351,  0 to 17 years,4640,2435,2205
Corner Brook,353,  18 to 64 years,17410,8330,9080
Corner Brook,354,  65 years and over,6930,3270,3665
Corner Brook,356,  0 to 17 years,125,60,65
Corner Brook,358,  18 to 64 years,830,390,445
Corner Brook,359,  65 years and over,65,20,45
Corner Brook,1457,  15 to 24 years,480,,
Corner Brook,1458,  25 to 34 years,1465,,
Corner Brook,1459,  35 to 44 years,1860,,
Corner Brook,1460,  45 to 54 years,2255,,
Corner Brook,1461,  55 to 64 years,2750,,
Corner Brook,1462,  65 to 74 years,2600,,
Corner Brook,1463,  75 to 84 years,1375,,
Corner Brook,1464,  85 years and over,465,,
Corner Brook,1540,  5 to 14 years,110,60,50
Corner Brook,1541,  15 to 24 years,130,65,60
Corner Brook,1542,  25 to 44 years,295,155,135
Charlottetown,9,  0 to 14 years,12405,6365,6035
Charlottetown,12,    10 to 14 years,4655,2375,2280
Charlottetown,13,  15 to 64 years,51205,25125,26075
Charlottetown,14,    15 to 19 years,4390,2220,2165
Charlottetown,15,    20 to 24 years,6380,3370,3015
Charlottetown,16,    25 to 29 years,5280,2740,2535
Charlottetown,17,    30 to 34 years,4960,2375,2580
Charlottetown,18,    35 to 39 years,4905,2375,2530
Charlottetown,19,    40 to 44 years,4910,2270,2640
Charlottetown,20,    45 to 49 years,4910,2380,2530
Charlottetown,21,    50 to 54 years,4955,2385,2570
Charlottetown,22,    55 to 59 years,5385,2595,2795
Charlottetown,23,    60 to 64 years,5135,2420,2710
Charlottetown,24,  65 years and over,15255,6895,8360
Charlottetown,25,    65 to 69 years,4920,2335,2580
Charlottetown,26,    70 to 74 years,4260,2000,2260
Charlottetown,27,    75 to 79 years,2665,1220,1445
Charlottetown,28,    80 to 84 years,1710,740,970
Charlottetown,29,    85 years and over,1700,600,1100
Charlottetown,30,      85 to 89 years,1030,415,625
Charlottetown,31,      90 to 94 years,490,150,335
Charlottetown,32,      95 to 99 years,160,35,125
Charlottetown,35,  0 to 14 years,15.7,16.6,14.9
